co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
BJ1330,5,2025-06-10,2026-06-17,372,1.0,1.0,0.0,0.0,0.0,0.0,54.0,0.16666666666666666,1
BJ1330,5,2025-06-10,2024-06-17,-358,1.0,1.0,0.0,0.0,0.0,0.0,54.0,0.16666666666666666,1
BK1105,1,2025-09-12,2025-10-29,47,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BK3473,1,2024-08-11,2025-05-28,290,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BL2446,4,2025-05-03,2025-06-20,48,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1
BL2446,4,2025-05-03,2026-06-20,413,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1
BL8276,1,2025-10-07,2025-10-26,19,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BM2162,3,2026-05-01,2025-10-18,-195,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BM2162,3,2026-05-01,2026-10-18,170,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BM3719,1,2025-05-02,2025-05-27,25,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BM6675,1,2025-05-02,2025-12-20,232,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0
BM8662,1,2024-03-12,2025-01-28,322,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BN3398,1,2025-12-12,2026-07-19,219,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BN5196,2,2025-08-09,2025-10-26,78,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BN5545,4,2025-08-12,2025-10-22,71,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1
BN5545,4,2025-08-12,2026-10-22,436,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1
BN7908,2,2025-10-11,2025-11-18,38,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BN7908,2,2025-10-11,2026-11-18,403,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BN8330,4,2025-04-12,2026-07-18,462,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1
BN8330,4,2025-04-12,2025-07-18,97,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1
BO1554,3,2024-10-12,2025-10-21,374,0.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,0
BO1554,3,2024-10-12,2026-10-21,739,0.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,0
BO1554,3,2024-10-12,2024-10-21,9,0.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,0
BO4069,1,2025-07-11,2025-10-27,108,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BO5363,2,2025-10-12,2025-10-29,17,0.0,1.0,0.0,0.0,0.0,0.0,87.5,0.0,0
BO9677,3,2024-03-12,2025-05-19,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BO9677,3,2024-03-12,2026-05-19,798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BO9677,3,2024-03-12,2024-05-19,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BP0148,3,2025-12-11,2025-08-19,-114,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333333,0.0,0
BP0148,3,2025-12-11,2026-08-19,251,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333333,0.0,0
BQ0014,1,2025-10-09,2025-11-26,48,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BQ9416,1,2024-11-11,2025-05-26,196,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
BR3113,2,2025-04-03,2025-09-19,169,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BR3113,2,2025-04-03,2026-09-19,534,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BR5065,3,2025-12-11,2026-09-19,282,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666667,0.0,0
BR7059,1,2024-11-11,2024-12-27,46,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BS2328,1,2024-03-12,2024-12-28,291,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BS2874,2,2025-07-04,2025-07-22,18,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BS2874,2,2025-07-04,2026-07-22,383,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BT6068,1,2025-03-03,2025-05-23,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BU0216,6,2024-04-11,2025-06-19,434,0.0,0.0,0.0,0.0,0.0,0.0,82.5,0.0,1
BU0216,6,2024-04-11,2026-06-19,799,0.0,0.0,0.0,0.0,0.0,0.0,82.5,0.0,1
BU0216,6,2024-04-11,2024-06-19,69,0.0,0.0,0.0,0.0,0.0,0.0,82.5,0.0,1
BU2402,2,2025-12-03,2025-12-21,18,0.0,1.0,0.0,0.0,0.0,0.0,82.5,0.0,0
BU2833,1,2025-04-02,2025-08-25,145,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BV5226,2,2025-09-04,2025-10-21,47,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BV5226,2,2025-09-04,2026-10-21,412,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BV9927,1,2024-05-11,2024-12-25,228,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BW2680,1,2025-01-12,2025-01-29,17,0.0,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BW2926,1,2025-04-08,2025-05-25,47,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0
BW7853,3,2025-08-01,2026-06-19,322,0.0,0.0,0.0,0.0,0.0,0.0,90.66666666666667,0.0,0
BW8786,1,2025-06-05,2026-05-22,351,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BX0353,4,2025-02-07,2025-04-26,78,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,1
